bar,equity
0,1.0
1,0.988122
2,0.976257
3,0.964665
4,0.953866
5,0.954198
6,0.968537
7,0.968034
8,0.957202
9,0.945024
10,0.944248
11,0.954698
12,0.965178
13,0.964955
14,0.973947
15,0.962998
16,0.968646
17,0.958345
18,0.958633
19,0.959064
20,0.948577
21,0.963052
22,0.952638
23,0.94238
24,0.932153
25,0.921137
26,0.911511
27,0.912599
28,0.916383
29,0.932372
30,0.922474
31,0.912502
32,0.902825
33,0.912849
34,0.913934
35,0.924015
36,0.91383
37,0.903962
38,0.894191
39,0.884716
40,0.875207
41,0.865268
42,0.870191
43,0.871035
44,0.861428
45,0.862051
46,0.863123
47,0.864154
48,0.854964
49,0.855943
50,0.846723
51,0.851016
52,0.851871
53,0.852621
54,0.853002
55,0.843692
56,0.842279
57,0.832825
