bar,equity
0,10000.0
1,10032.143822
2,10045.23616
3,10075.886695
4,10529.341113
5,10318.670056
6,10350.914568
7,10185.217128
8,10217.926803
9,10231.258697
10,10026.551673
11,10056.28701
12,9895.305968
13,9926.400207
14,10382.949714
15,10175.207656
16,9971.622102
17,10003.353883
18,9843.220194
19,9873.542132
20,10321.04004
21,10114.536671
22,9912.165022
23,9943.367377
24,9956.223636
25,9987.853473
26,10000.822356
27,10031.195162
28,10043.962792
29,10074.399321
30,10087.212131
31,9885.387191
32,9913.333926
33,10335.225931
34,10128.438731
35,9925.788929
