bar,equity
0,10000.0
1,10030.990835
2,9870.414735
3,9902.070922
4,10364.549045
5,10398.488543
6,10232.029539
7,10263.563935
8,10728.900037
9,10763.058953
10,10590.763906
11,10624.32085
12,10638.097389
13,10671.852275
14,10685.701795
15,10719.858784
16,11219.238668
17,11255.348061
18,11075.17245
19,11109.48542
20,11615.101084
21,11382.706142
22,11154.960959
23,11190.151546
24,11706.382842
25,11743.877671
26,11759.179452
27,11523.901792
28,11559.7704
29,11374.721597
30,11147.136169
31,10924.10427
32,10705.534794
33,10491.338455
34,10281.427757
35,10312.994608
36,10326.183255
