symbol,type,entry,exit,exit_reason,r_multiple,open_ts,close_ts
BTC/USDT,SHORT,84307.83,84265.67,SL,210769562499.99,2025-04-16 22:00:00+00:00,2025-04-17 01:15:00+00:00
BTC/USDT,SHORT,83741.51,84092.21,SL,-0.893,2025-04-17 03:15:00+00:00,2025-04-17 04:45:00+00:00
BTC/USDT,SHORT,84703.03,84488.85,TP,1070872118637.635,2025-04-17 06:45:00+00:00,2025-04-17 08:45:00+00:00
BTC/USDT,SHORT,84376.59,84334.4,SL,210941476500.011,2025-04-17 09:00:00+00:00,2025-04-17 11:00:00+00:00
BTC/USDT,SHORT,84548.0,84505.73,SL,211370012124.971,2025-04-17 13:00:00+00:00,2025-04-17 13:30:00+00:00
BTC/USDT,SHORT,84089.93,84047.89,SL,210224834999.971,2025-04-17 14:00:00+00:00,2025-04-17 14:30:00+00:00
BTC/USDT,SHORT,84680.44,85101.02,SL,-0.908,2025-04-17 16:30:00+00:00,2025-04-17 17:45:00+00:00
BTC/USDT,SHORT,85187.58,85144.99,SL,212968962249.942,2025-04-17 18:15:00+00:00,2025-04-17 18:45:00+00:00
BTC/USDT,SHORT,84856.75,84526.86,TP,1649472626671.413,2025-04-17 19:00:00+00:00,2025-04-17 19:30:00+00:00
BTC/USDT,SHORT,84847.56,84607.69,TP,1199328905634.61,2025-04-17 22:30:00+00:00,2025-04-18 04:15:00+00:00
BTC/USDT,LONG,84578.87,84703.34,TP,622362366826.128,2025-04-18 05:15:00+00:00,2025-04-18 06:00:00+00:00
BTC/USDT,LONG,84758.26,84470.72,SL,-1.173,2025-04-18 08:00:00+00:00,2025-04-18 09:00:00+00:00
BTC/USDT,LONG,84671.71,84410.83,SL,-1.194,2025-04-18 11:45:00+00:00,2025-04-18 13:30:00+00:00
BTC/USDT,LONG,84392.28,84350.08,SL,-210980687624.979,2025-04-18 15:30:00+00:00,2025-04-18 16:15:00+00:00
BTC/USDT,LONG,84488.52,84446.28,SL,-211221307874.949,2025-04-18 16:30:00+00:00,2025-04-18 19:30:00+00:00
BTC/USDT,LONG,84665.11,84436.88,SL,-1.228,2025-04-18 21:30:00+00:00,2025-04-18 22:00:00+00:00
BTC/USDT,LONG,84551.65,84629.98,SL,-0.325,2025-04-19 01:00:00+00:00,2025-04-19 02:00:00+00:00
BTC/USDT,LONG,84738.25,84827.13,TP,444427387357.136,2025-04-19 02:15:00+00:00,2025-04-19 03:00:00+00:00
BTC/USDT,LONG,85162.46,85119.88,SL,-212906149874.98,2025-04-19 07:15:00+00:00,2025-04-19 08:30:00+00:00
BTC/USDT,LONG,85270.01,85227.38,SL,-213175034249.944,2025-04-19 12:00:00+00:00,2025-04-19 13:15:00+00:00
BTC/USDT,LONG,85188.87,84878.16,SL,-1.159,2025-04-19 15:45:00+00:00,2025-04-19 16:45:00+00:00
BTC/USDT,LONG,85066.11,85225.3,TP,795930690331.733,2025-04-19 17:30:00+00:00,2025-04-19 18:30:00+00:00
BTC/USDT,LONG,85267.01,84985.48,SL,-1.178,2025-04-19 20:30:00+00:00,2025-04-19 23:45:00+00:00
BTC/USDT,LONG,85249.0,84996.69,SL,-1.203,2025-04-20 01:00:00+00:00,2025-04-20 06:00:00+00:00
BTC/USDT,LONG,85081.22,84879.33,SL,-1.267,2025-04-20 06:15:00+00:00,2025-04-20 06:30:00+00:00
BTC/USDT,LONG,84952.46,84733.48,SL,-1.24,2025-04-20 06:45:00+00:00,2025-04-20 07:00:00+00:00
BTC/USDT,LONG,84758.16,84522.4,SL,-1.219,2025-04-20 07:15:00+00:00,2025-04-20 09:00:00+00:00
BTC/USDT,LONG,84542.25,84311.46,SL,-1.224,2025-04-20 09:45:00+00:00,2025-04-20 10:30:00+00:00
BTC/USDT,LONG,84177.67,83910.66,SL,-1.187,2025-04-20 10:45:00+00:00,2025-04-20 11:15:00+00:00
BTC/USDT,LONG,84039.1,84164.04,TP,624721563453.204,2025-04-20 11:30:00+00:00,2025-04-20 12:00:00+00:00
BTC/USDT,LONG,84397.98,84092.4,SL,-1.16,2025-04-20 12:15:00+00:00,2025-04-20 13:15:00+00:00
BTC/USDT,LONG,84403.58,84361.38,SL,-211008951749.973,2025-04-20 13:30:00+00:00,2025-04-20 14:00:00+00:00
BTC/USDT,LONG,84552.25,84218.51,SL,-1.145,2025-04-20 14:15:00+00:00,2025-04-20 15:45:00+00:00
BTC/USDT,LONG,84522.24,84775.78,SL,-0.429,2025-04-20 16:30:00+00:00,2025-04-20 20:00:00+00:00
BTC/USDT,LONG,85112.43,85069.88,SL,-212781087374.97,2025-04-20 23:00:00+00:00,2025-04-21 00:00:00+00:00
BTC/USDT,LONG,87330.94,86911.18,SL,-1.116,2025-04-21 12:00:00+00:00,2025-04-21 13:00:00+00:00
BTC/USDT,LONG,87680.92,87637.08,SL,-219202296375.006,2025-04-21 14:00:00+00:00,2025-04-21 14:15:00+00:00
BTC/USDT,LONG,88123.14,87478.1,SL,-1.073,2025-04-21 14:30:00+00:00,2025-04-21 16:45:00+00:00
BTC/USDT,LONG,86851.3,87384.43,TP,2665630955225.06,2025-04-21 17:00:00+00:00,2025-04-21 19:45:00+00:00
BTC/USDT,LONG,87346.45,87302.78,SL,-218366128499.984,2025-04-21 23:15:00+00:00,2025-04-21 23:45:00+00:00
BTC/USDT,LONG,87519.24,87054.78,SL,-1.104,2025-04-22 00:00:00+00:00,2025-04-22 00:30:00+00:00
BTC/USDT,LONG,87716.54,88456.46,SL,-0.472,2025-04-22 00:45:00+00:00,2025-04-22 01:15:00+00:00
BTC/USDT,LONG,88391.77,87904.9,SL,-1.1,2025-04-22 05:45:00+00:00,2025-04-22 06:30:00+00:00
BTC/USDT,LONG,88167.26,88446.28,TP,1395102303568.419,2025-04-22 07:00:00+00:00,2025-04-22 08:00:00+00:00
BTC/USDT,LONG,88624.49,88580.18,SL,-221561225249.971,2025-04-22 11:15:00+00:00,2025-04-22 12:30:00+00:00
BTC/USDT,LONG,91414.78,93574.8,SL,-0.49,2025-04-22 21:15:00+00:00,2025-04-22 21:45:00+00:00
BTC/USDT,LONG,93172.56,93125.98,SL,-232931407500.001,2025-04-23 03:45:00+00:00,2025-04-23 04:45:00+00:00
BTC/USDT,LONG,93450.4,93403.68,SL,-233626004624.967,2025-04-23 05:00:00+00:00,2025-04-23 07:15:00+00:00
BTC/USDT,LONG,93471.91,93425.18,SL,-233679781499.959,2025-04-23 11:45:00+00:00,2025-04-23 12:00:00+00:00
BTC/USDT,LONG,93706.33,93659.48,SL,-234265824374.962,2025-04-23 12:15:00+00:00,2025-04-23 13:00:00+00:00
BTC/USDT,LONG,94004.88,94490.96,SL,-0.456,2025-04-23 13:15:00+00:00,2025-04-23 13:30:00+00:00
BTC/USDT,LONG,93146.55,92361.7,SL,-1.063,2025-04-23 14:15:00+00:00,2025-04-23 15:15:00+00:00
BTC/USDT,LONG,93143.95,93789.11,TP,3225820524776.063,2025-04-23 16:00:00+00:00,2025-04-23 17:00:00+00:00
BTC/USDT,LONG,94053.7,93312.66,SL,-1.068,2025-04-23 18:00:00+00:00,2025-04-23 19:00:00+00:00
BTC/USDT,LONG,93634.79,92981.45,SL,-1.077,2025-04-23 20:00:00+00:00,2025-04-24 01:15:00+00:00
BTC/USDT,LONG,93494.02,92971.72,SL,-1.098,2025-04-24 01:45:00+00:00,2025-04-24 02:45:00+00:00
BTC/USDT,LONG,92667.01,92122.31,SL,-1.093,2025-04-24 04:00:00+00:00,2025-04-24 07:30:00+00:00
BTC/USDT,LONG,92212.08,91702.41,SL,-1.099,2025-04-24 07:45:00+00:00,2025-04-24 08:30:00+00:00
BTC/USDT,LONG,92031.49,92393.02,TP,1807615927790.102,2025-04-24 08:45:00+00:00,2025-04-24 09:15:00+00:00
BTC/USDT,LONG,92346.25,92300.08,SL,-230865625125.007,2025-04-24 09:30:00+00:00,2025-04-24 11:00:00+00:00
BTC/USDT,LONG,92621.39,92575.08,SL,-231553468874.991,2025-04-24 11:45:00+00:00,2025-04-24 13:30:00+00:00
BTC/USDT,LONG,93314.83,93268.18,SL,-233287085249.977,2025-04-24 18:00:00+00:00,2025-04-24 20:15:00+00:00
BTC/USDT,LONG,93531.14,93803.85,TP,1363556275918.818,2025-04-24 22:15:00+00:00,2025-04-24 23:30:00+00:00
BTC/USDT,LONG,93886.72,93839.78,SL,-234716799749.95,2025-04-25 00:45:00+00:00,2025-04-25 01:00:00+00:00
BTC/USDT,LONG,93245.4,93458.34,SL,-0.41,2025-04-25 02:30:00+00:00,2025-04-25 07:00:00+00:00
BTC/USDT,LONG,94030.29,94355.36,SL,-0.437,2025-04-25 11:00:00+00:00,2025-04-25 11:45:00+00:00
BTC/USDT,LONG,94696.12,94648.78,SL,-236740310999.958,2025-04-25 14:15:00+00:00,2025-04-25 14:30:00+00:00
BTC/USDT,LONG,95351.65,94617.97,SL,-1.069,2025-04-25 16:30:00+00:00,2025-04-25 17:45:00+00:00
BTC/USDT,LONG,95173.96,94504.37,SL,-1.076,2025-04-25 18:30:00+00:00,2025-04-25 21:45:00+00:00
