symbol,type,entry,exit,exit_reason,r_multiple,open_ts,close_ts
ETH/USDT,SHORT,1567.02,1590.91,SL,-0.968,2025-04-16 18:00:00+00:00,2025-04-16 19:45:00+00:00
ETH/USDT,SHORT,1572.04,1594.77,SL,-0.966,2025-04-16 20:45:00+00:00,2025-04-16 21:15:00+00:00
ETH/USDT,SHORT,1579.93,1597.75,SL,-0.957,2025-04-16 23:00:00+00:00,2025-04-17 05:30:00+00:00
ETH/USDT,SHORT,1599.99,1590.67,TP,46598210956.15,2025-04-17 06:00:00+00:00,2025-04-17 10:00:00+00:00
ETH/USDT,SHORT,1594.67,1593.87,SL,3986680662.499,2025-04-17 13:15:00+00:00,2025-04-17 13:30:00+00:00
ETH/USDT,SHORT,1584.0,1583.21,SL,3959994012.499,2025-04-17 14:00:00+00:00,2025-04-17 14:15:00+00:00
ETH/USDT,SHORT,1599.24,1614.62,SL,-0.951,2025-04-17 16:30:00+00:00,2025-04-17 17:45:00+00:00
ETH/USDT,SHORT,1599.21,1584.64,SL,-0.529,2025-04-17 18:45:00+00:00,2025-04-17 19:15:00+00:00
ETH/USDT,SHORT,1581.68,1580.89,SL,3954196912.499,2025-04-17 19:30:00+00:00,2025-04-18 07:15:00+00:00
ETH/USDT,SHORT,1582.59,1589.19,SL,-0.893,2025-04-18 10:45:00+00:00,2025-04-18 11:45:00+00:00
ETH/USDT,SHORT,1588.6,1581.77,SL,-0.566,2025-04-18 13:15:00+00:00,2025-04-18 15:00:00+00:00
ETH/USDT,SHORT,1579.86,1587.52,SL,-0.906,2025-04-18 15:15:00+00:00,2025-04-18 17:00:00+00:00
ETH/USDT,SHORT,1592.39,1598.27,SL,-0.881,2025-04-18 19:15:00+00:00,2025-04-18 21:30:00+00:00
ETH/USDT,SHORT,1591.2,1587.34,TP,19325237648.555,2025-04-18 22:45:00+00:00,2025-04-18 23:15:00+00:00
ETH/USDT,SHORT,1584.5,1589.84,SL,-0.871,2025-04-19 00:15:00+00:00,2025-04-19 02:00:00+00:00
ETH/USDT,SHORT,1595.18,1601.12,SL,-0.881,2025-04-19 03:30:00+00:00,2025-04-19 04:15:00+00:00
ETH/USDT,SHORT,1605.44,1599.75,TP,28448839865.581,2025-04-19 04:30:00+00:00,2025-04-19 06:00:00+00:00
ETH/USDT,SHORT,1598.35,1604.88,SL,-0.891,2025-04-19 06:15:00+00:00,2025-04-19 09:15:00+00:00
ETH/USDT,SHORT,1598.81,1594.47,TP,21711356878.321,2025-04-19 09:30:00+00:00,2025-04-19 10:30:00+00:00
ETH/USDT,SHORT,1602.92,1608.37,SL,-0.872,2025-04-19 13:45:00+00:00,2025-04-19 15:15:00+00:00
ETH/USDT,SHORT,1603.37,1602.57,SL,4008419787.5,2025-04-19 16:30:00+00:00,2025-04-19 16:45:00+00:00
ETH/USDT,SHORT,1613.58,1612.78,SL,4033957012.499,2025-04-19 18:45:00+00:00,2025-04-20 00:15:00+00:00
ETH/USDT,SHORT,1612.18,1611.38,SL,4030458762.499,2025-04-20 02:15:00+00:00,2025-04-20 06:00:00+00:00
ETH/USDT,LONG,1605.58,1598.34,SL,-1.124,2025-04-20 06:45:00+00:00,2025-04-20 07:15:00+00:00
ETH/USDT,SHORT,1571.53,1579.33,SL,-0.908,2025-04-20 15:15:00+00:00,2025-04-20 16:15:00+00:00
ETH/USDT,SHORT,1581.12,1586.54,SL,-0.873,2025-04-20 19:30:00+00:00,2025-04-20 20:00:00+00:00
ETH/USDT,SHORT,1592.05,1586.82,TP,26162899001.233,2025-04-20 20:15:00+00:00,2025-04-20 21:00:00+00:00
ETH/USDT,SHORT,1575.7,1583.38,SL,-0.907,2025-04-20 22:15:00+00:00,2025-04-20 23:00:00+00:00
ETH/USDT,SHORT,1612.97,1622.96,SL,-0.925,2025-04-21 00:30:00+00:00,2025-04-21 01:45:00+00:00
ETH/USDT,SHORT,1628.4,1642.35,SL,-0.945,2025-04-21 02:30:00+00:00,2025-04-21 05:45:00+00:00
ETH/USDT,LONG,1632.11,1621.06,SL,-1.08,2025-04-21 10:30:00+00:00,2025-04-21 11:15:00+00:00
ETH/USDT,LONG,1631.0,1620.05,SL,-1.08,2025-04-21 12:00:00+00:00,2025-04-21 13:00:00+00:00
ETH/USDT,LONG,1623.67,1612.24,SL,-1.076,2025-04-21 13:30:00+00:00,2025-04-21 13:45:00+00:00
ETH/USDT,LONG,1620.74,1619.93,SL,-4051849912.5,2025-04-21 14:00:00+00:00,2025-04-21 14:15:00+00:00
ETH/USDT,LONG,1632.71,1617.97,SL,-1.059,2025-04-21 14:30:00+00:00,2025-04-21 15:45:00+00:00
