symbol,type,entry,exit,exit_reason,r_multiple,open_ts,close_ts
LINK/USDT,SHORT,12.91,12.78,PARTIAL,0.161,2025-03-11 12:15:00+00:00,2025-03-11 12:45:00+00:00
LINK/USDT,SHORT,12.91,12.9,SL,0.065,2025-03-11 12:15:00+00:00,2025-03-11 13:15:00+00:00
LINK/USDT,SHORT,12.76,12.71,PARTIAL,0.153,2025-04-06 03:00:00+00:00,2025-04-06 06:30:00+00:00
LINK/USDT,SHORT,12.76,12.57,TP,2.25,2025-04-06 03:00:00+00:00,2025-04-06 08:15:00+00:00
LINK/USDT,SHORT,11.45,11.59,SL,-1.0,2025-04-07 23:30:00+00:00,2025-04-08 01:30:00+00:00
LINK/USDT,SHORT,13.5,13.43,PARTIAL,0.156,2025-05-06 20:30:00+00:00,2025-05-06 21:15:00+00:00
LINK/USDT,SHORT,13.5,13.6,SL,-0.8,2025-05-06 20:30:00+00:00,2025-05-06 22:00:00+00:00
LINK/USDT,LONG,16.04,16.2,PARTIAL,0.161,2025-05-09 17:30:00+00:00,2025-05-10 00:15:00+00:00
LINK/USDT,LONG,16.04,16.05,SL,0.065,2025-05-09 17:30:00+00:00,2025-05-10 11:30:00+00:00
LINK/USDT,LONG,13.16,13.05,SL,-1.0,2025-06-25 17:15:00+00:00,2025-06-25 17:30:00+00:00
LINK/USDT,LONG,13.33,13.37,PARTIAL,0.148,2025-06-29 17:00:00+00:00,2025-06-29 17:45:00+00:00
LINK/USDT,LONG,13.33,13.28,SL,-0.8,2025-06-29 17:00:00+00:00,2025-06-29 21:00:00+00:00
LINK/USDT,LONG,16.57,16.68,PARTIAL,0.157,2025-07-17 04:45:00+00:00,2025-07-17 05:30:00+00:00
LINK/USDT,LONG,16.57,16.96,TP,2.3,2025-07-17 04:45:00+00:00,2025-07-17 06:45:00+00:00
LINK/USDT,SHORT,22.67,22.81,SL,-1.0,2025-09-05 09:15:00+00:00,2025-09-05 09:45:00+00:00
LINK/USDT,LONG,24.48,24.36,SL,-1.0,2025-09-12 11:15:00+00:00,2025-09-12 11:45:00+00:00
LINK/USDT,LONG,22.51,22.69,PARTIAL,0.159,2025-10-03 18:30:00+00:00,2025-10-03 19:30:00+00:00
LINK/USDT,LONG,22.51,22.28,SL,-0.8,2025-10-03 18:30:00+00:00,2025-10-04 01:30:00+00:00
LINK/USDT,SHORT,17.49,17.41,PARTIAL,0.154,2025-10-23 09:15:00+00:00,2025-10-23 09:45:00+00:00
LINK/USDT,SHORT,17.49,17.2,TP,2.266,2025-10-23 09:15:00+00:00,2025-10-23 12:00:00+00:00
LINK/USDT,SHORT,13.69,13.75,SL,-1.0,2025-12-13 06:15:00+00:00,2025-12-13 07:15:00+00:00
LINK/USDT,LONG,13.34,13.28,SL,-1.0,2026-01-04 07:45:00+00:00,2026-01-04 08:00:00+00:00
LINK/USDT,SHORT,12.29,12.21,PARTIAL,0.157,2026-01-21 16:15:00+00:00,2026-01-21 16:30:00+00:00
LINK/USDT,SHORT,12.29,12.28,SL,0.065,2026-01-21 16:15:00+00:00,2026-01-21 16:30:00+00:00
LINK/USDT,LONG,9.06,9.13,PARTIAL,0.159,2026-02-26 19:15:00+00:00,2026-02-26 20:00:00+00:00
LINK/USDT,LONG,9.06,9.07,SL,0.065,2026-02-26 19:15:00+00:00,2026-02-27 09:45:00+00:00
LINK/USDT,SHORT,8.65,8.62,PARTIAL,0.152,2026-03-08 11:00:00+00:00,2026-03-08 12:00:00+00:00
LINK/USDT,SHORT,8.65,8.65,SL,0.064,2026-03-08 11:00:00+00:00,2026-03-08 12:00:00+00:00
LINK/USDT,LONG,9.82,9.86,PARTIAL,0.152,2026-03-18 01:00:00+00:00,2026-03-18 02:30:00+00:00
LINK/USDT,LONG,9.82,9.83,SL,0.064,2026-03-18 01:00:00+00:00,2026-03-18 04:30:00+00:00
LINK/USDT,SHORT,9.07,9.11,SL,-1.0,2026-03-20 02:15:00+00:00,2026-03-20 03:15:00+00:00
LINK/USDT,SHORT,8.55,8.54,PARTIAL,0.141,2026-03-28 08:45:00+00:00,2026-03-28 09:00:00+00:00
LINK/USDT,SHORT,8.55,8.49,TP,2.128,2026-03-28 08:45:00+00:00,2026-03-28 10:15:00+00:00
LINK/USDT,LONG,9.01,8.97,SL,-1.0,2026-04-06 20:30:00+00:00,2026-04-06 21:30:00+00:00
LINK/USDT,LONG,9.1,9.05,SL,-1.0,2026-04-08 17:45:00+00:00,2026-04-08 18:15:00+00:00
