symbol,type,entry,exit,exit_reason,r_multiple,open_ts,close_ts
NEAR/USDT,LONG,2.92,2.94,PARTIAL,0.155,2025-03-25 00:00:00+00:00,2025-03-25 00:15:00+00:00
NEAR/USDT,LONG,2.92,2.91,SL,-0.8,2025-03-25 00:00:00+00:00,2025-03-25 03:30:00+00:00
NEAR/USDT,SHORT,2.67,2.64,PARTIAL,0.16,2025-03-30 13:00:00+00:00,2025-03-30 13:30:00+00:00
NEAR/USDT,SHORT,2.67,2.57,TP,2.335,2025-03-30 13:00:00+00:00,2025-03-30 22:00:00+00:00
NEAR/USDT,SHORT,2.09,2.05,PARTIAL,0.164,2025-04-07 16:15:00+00:00,2025-04-07 16:45:00+00:00
NEAR/USDT,SHORT,2.09,2.15,SL,-0.8,2025-04-07 16:15:00+00:00,2025-04-08 02:00:00+00:00
NEAR/USDT,SHORT,2.24,2.23,PARTIAL,0.154,2025-06-15 06:30:00+00:00,2025-06-15 07:00:00+00:00
NEAR/USDT,SHORT,2.24,2.21,TP,2.267,2025-06-15 06:30:00+00:00,2025-06-15 11:15:00+00:00
NEAR/USDT,SHORT,2.06,2.04,PARTIAL,0.159,2025-06-26 21:15:00+00:00,2025-06-27 00:30:00+00:00
NEAR/USDT,SHORT,2.06,2.08,SL,-0.8,2025-06-26 21:15:00+00:00,2025-06-27 02:45:00+00:00
NEAR/USDT,SHORT,2.08,2.06,PARTIAL,0.158,2025-06-27 17:15:00+00:00,2025-06-27 18:15:00+00:00
NEAR/USDT,SHORT,2.08,2.07,SL,0.065,2025-06-27 17:15:00+00:00,2025-06-27 20:00:00+00:00
NEAR/USDT,LONG,2.52,2.53,PARTIAL,0.159,2025-07-12 06:30:00+00:00,2025-07-12 07:00:00+00:00
NEAR/USDT,LONG,2.52,2.52,SL,0.065,2025-07-12 06:30:00+00:00,2025-07-12 07:30:00+00:00
NEAR/USDT,LONG,2.96,2.99,PARTIAL,0.16,2025-07-21 02:00:00+00:00,2025-07-21 03:00:00+00:00
NEAR/USDT,LONG,2.96,3.06,TP,2.329,2025-07-21 02:00:00+00:00,2025-07-21 08:30:00+00:00
NEAR/USDT,SHORT,2.63,2.6,PARTIAL,0.161,2025-07-30 20:45:00+00:00,2025-07-30 21:30:00+00:00
NEAR/USDT,SHORT,2.63,2.66,SL,-0.8,2025-07-30 20:45:00+00:00,2025-07-31 00:15:00+00:00
NEAR/USDT,LONG,2.8,2.81,PARTIAL,0.155,2025-08-09 16:15:00+00:00,2025-08-09 17:30:00+00:00
NEAR/USDT,LONG,2.8,2.85,TP,2.276,2025-08-09 16:15:00+00:00,2025-08-09 20:30:00+00:00
NEAR/USDT,LONG,3.05,3.03,SL,-1.0,2025-10-07 04:45:00+00:00,2025-10-07 06:00:00+00:00
NEAR/USDT,SHORT,2.11,2.13,SL,-1.0,2025-10-31 12:45:00+00:00,2025-10-31 13:15:00+00:00
NEAR/USDT,SHORT,2.12,2.11,PARTIAL,0.158,2025-10-31 16:15:00+00:00,2025-10-31 16:30:00+00:00
NEAR/USDT,SHORT,2.12,2.07,TP,2.307,2025-10-31 16:15:00+00:00,2025-10-31 17:15:00+00:00
NEAR/USDT,SHORT,1.68,1.66,PARTIAL,0.16,2025-12-11 22:30:00+00:00,2025-12-12 00:00:00+00:00
NEAR/USDT,SHORT,1.68,1.68,SL,0.065,2025-12-11 22:30:00+00:00,2025-12-12 01:15:00+00:00
NEAR/USDT,SHORT,1.53,1.54,SL,-1.0,2025-12-16 12:30:00+00:00,2025-12-16 13:15:00+00:00
NEAR/USDT,LONG,1.84,1.85,PARTIAL,0.156,2026-01-14 07:00:00+00:00,2026-01-14 08:15:00+00:00
NEAR/USDT,LONG,1.84,1.83,SL,-0.8,2026-01-14 07:00:00+00:00,2026-01-14 11:15:00+00:00
NEAR/USDT,SHORT,1.71,1.72,SL,-1.0,2026-01-18 17:00:00+00:00,2026-01-18 18:15:00+00:00
NEAR/USDT,SHORT,1.72,1.73,SL,-1.0,2026-01-18 19:30:00+00:00,2026-01-18 20:15:00+00:00
NEAR/USDT,SHORT,1.45,1.46,SL,-1.0,2026-01-26 03:30:00+00:00,2026-01-26 04:15:00+00:00
NEAR/USDT,SHORT,1.18,1.2,SL,-1.0,2026-02-03 23:00:00+00:00,2026-02-04 01:15:00+00:00
NEAR/USDT,LONG,1.35,1.34,SL,-1.0,2026-03-13 10:15:00+00:00,2026-03-13 10:45:00+00:00
NEAR/USDT,SHORT,1.16,1.16,PARTIAL,0.154,2026-03-29 22:15:00+00:00,2026-03-29 22:30:00+00:00
NEAR/USDT,SHORT,1.16,1.16,SL,0.064,2026-03-29 22:15:00+00:00,2026-03-29 22:30:00+00:00
